date,open,high,low,close,volume,average,barCount
2016-01-21 14:30:00+00:00,186.21,186.74,184.64,185.11,20811019.0,185.586,87986
2016-01-21 15:00:00+00:00,185.11,187.91,185.06,186.88,28639554.0,186.918,122121
2016-01-21 16:00:00+00:00,186.89,188.27,186.46,188.16,21352264.0,187.448,99268
2016-01-21 17:00:00+00:00,188.16,188.87,187.89,188.12,16953299.0,188.408,76960
2016-01-21 18:00:00+00:00,188.11,188.62,186.79,187.27,18455341.0,187.567,78653
2016-01-21 19:00:00+00:00,187.3,187.55,185.77,187.36,23995552.0,186.661,97788
2016-01-21 20:00:00+00:00,187.37,187.68,186.3,186.68,24708633.0,187.044,102483
2016-01-22 14:30:00+00:00,189.78,190.29,189.26,190.24,25138177.0,189.704,96524
2016-01-22 15:00:00+00:00,190.24,190.56,189.49,189.5,26728154.0,190.118,112440
2016-01-22 16:00:00+00:00,189.5,189.85,188.88,189.09,19058014.0,189.381,74239
2016-01-22 17:00:00+00:00,189.08,189.99,189.05,189.94,10367021.0,189.552,43833
2016-01-22 18:00:00+00:00,189.94,190.44,189.59,190.41,9767921.0,190.029,40999
2016-01-22 19:00:00+00:00,190.4,190.76,189.84,190.28,15332256.0,190.288,58028
2016-01-22 20:00:00+00:00,190.28,190.61,189.72,190.49,26028008.0,190.271,86771
2016-01-25 14:30:00+00:00,189.93,190.12,189.27,189.62,13102768.0,189.662,53937
2016-01-25 15:00:00+00:00,189.62,190.15,189.04,189.26,16602791.0,189.531,68102
2016-01-25 16:00:00+00:00,189.25,189.5,188.75,189.29,13124960.0,189.126,52415
2016-01-25 17:00:00+00:00,189.29,189.66,189.04,189.61,7116730.0,189.373,30728
2016-01-25 18:00:00+00:00,189.62,190.11,189.14,189.15,10516836.0,189.753,40978
2016-01-25 19:00:00+00:00,189.15,189.41,188.79,188.98,10316407.0,189.09,43581
2016-01-25 20:00:00+00:00,188.98,189.21,187.41,187.66,28439813.0,187.963,110465
